TokenId,Airdrop receiver,Owner,ProjectId,Is still in airdrop wallet
1864,0x885868ebe6087b23e7f9d595209a6d8edf6db32b,0x885868ebe6087b23e7f9d595209a6d8edf6db32b,0,TRUE
1865,0x888563f063919cd3f222e00710b82b6695fc0a1e,0x888563f063919cd3f222e00710b82b6695fc0a1e,5,TRUE
1866,0x88889778402dcf6cf363bb9ac47f7a2d8e77a2af,0x88889778402dcf6cf363bb9ac47f7a2d8e77a2af,8,TRUE
1867,0x8890cd645ce242a740415169a6959cd803e542f6,0x8890cd645ce242a740415169a6959cd803e542f6,9,TRUE
1868,0x8898912bca00d357e35783f46505da2371b9985b,0x8898912bca00d357e35783f46505da2371b9985b,20,TRUE
1869,0x88a05357ec21baad31a5ec3fa17be65d47b58d5e,0x88a05357ec21baad31a5ec3fa17be65d47b58d5e,0,TRUE
1870,0x88ac836c64d5e7b8b3abb8a0bfdf5f6703374954,0x88ac836c64d5e7b8b3abb8a0bfdf5f6703374954,6,TRUE
1871,0x88ac836c64d5e7b8b3abb8a0bfdf5f6703374954,0x88ac836c64d5e7b8b3abb8a0bfdf5f6703374954,1,TRUE
1872,0x88c36aac04487c1cb8e998cb76f6dd9cf10854b9,0x88c36aac04487c1cb8e998cb76f6dd9cf10854b9,3,TRUE
1873,0x88d13a459ed90c36063489ed4b581ab61d965163,0x88d13a459ed90c36063489ed4b581ab61d965163,0,TRUE
1874,0x88fc715cf168ea6bd0ebd9da4bfffa35a8dc3cde,0x88fc715cf168ea6bd0ebd9da4bfffa35a8dc3cde,2,TRUE
1875,0x88fc715cf168ea6bd0ebd9da4bfffa35a8dc3cde,0x88fc715cf168ea6bd0ebd9da4bfffa35a8dc3cde,2,TRUE
1876,0x88fc715cf168ea6bd0ebd9da4bfffa35a8dc3cde,0x88fc715cf168ea6bd0ebd9da4bfffa35a8dc3cde,2,TRUE
1877,0x88fc715cf168ea6bd0ebd9da4bfffa35a8dc3cde,0x88fc715cf168ea6bd0ebd9da4bfffa35a8dc3cde,2,TRUE
1878,0x8912cf753ba013a516e4925f785902540fba46d0,0x8912cf753ba013a516e4925f785902540fba46d0,19,TRUE
1879,0x8912cf753ba013a516e4925f785902540fba46d0,0x8912cf753ba013a516e4925f785902540fba46d0,19,TRUE
1880,0x891720f7a628a92a90980769f03ac47484b987dd,0x891720f7a628a92a90980769f03ac47484b987dd,0,TRUE
1881,0x895e6cb0bfd350775982fdf98d5a7e4217ed7022,0x895e6cb0bfd350775982fdf98d5a7e4217ed7022,11,TRUE
1882,0x896ca6018d60c13b61ae8ac14e4f9931f10ff8f4,0x896ca6018d60c13b61ae8ac14e4f9931f10ff8f4,4,TRUE
1883,0x898ac56754f81a2368f91fc80b4db96fa2f3afba,0x898ac56754f81a2368f91fc80b4db96fa2f3afba,7,TRUE
1884,0x898ac56754f81a2368f91fc80b4db96fa2f3afba,0x898ac56754f81a2368f91fc80b4db96fa2f3afba,0,TRUE
1885,0x89ae62443249c2f6ad6e7e85e12aa25b82376eee,0x89ae62443249c2f6ad6e7e85e12aa25b82376eee,3,TRUE
1886,0x89c44d4e90e998291600e8151cd3cce591b2e6b7,0x89c44d4e90e998291600e8151cd3cce591b2e6b7,0,TRUE
1887,0x89c44d4e90e998291600e8151cd3cce591b2e6b7,0x89c44d4e90e998291600e8151cd3cce591b2e6b7,0,TRUE
